,Customer,State,Coverage,Education,Job_Status,Gender,Income,Location,Civil_Status,Monthly_Price,Months_LastClaim,Months_SinceActivation,Number_Open_Complaints,Number_Insurances,Policy_Type,Sales_Channel,Car_Type,Car_Size
0,BU79786,Washington,Basic,Bachelor,Employed,F,56274,Suburban,Married,69,32,5,0,1,Corporate Auto,Agent,Two-Door Car,Medsize
1,QZ44356,Arizona,Extended,Bachelor,Unemployed,F,0,Suburban,Single,94,13,42,0,8,Personal Auto,Agent,Four-Door Car,Medsize
2,AI49188,Nevada,Premium,Bachelor,Employed,F,48767,Suburban,Married,108,18,38,0,2,Personal Auto,Agent,Two-Door Car,Medsize
3,WW63253,California,Basic,Bachelor,Unemployed,M,0,Suburban,Married,106,18,65,0,7,Corporate Auto,Call Center,SUV,Medsize
4,HB64268,Washington,Basic,Bachelor,Employed,M,43836,Rural,Single,73,12,44,0,1,Personal Auto,Agent,Four-Door Car,Medsize
5,OC83172,Oregon,Basic,Bachelor,Employed,F,62902,Rural,Married,69,14,94,0,2,Personal Auto,Web,Two-Door Car,Medsize
6,XZ87318,Oregon,Basic,College,Employed,F,55350,Suburban,Married,67,0,13,0,9,Corporate Auto,Agent,Four-Door Car,Medsize
7,CF85061,Arizona,Premium,Master,Unemployed,M,0,Urban,Single,101,0,68,0,4,Corporate Auto,Agent,Four-Door Car,Medsize
8,DY87989,Oregon,Basic,Bachelor,Medical Leave,M,14072,Suburban,Divorced,71,13,3,0,2,Corporate Auto,Agent,Four-Door Car,Medsize
9,BQ94931,Oregon,Extended,College,Employed,F,28812,Urban,Married,93,17,7,0,8,Special Auto,Branch,Four-Door Car,Medsize
10,SX51350,California,Basic,College,Unemployed,M,0,Suburban,Single,67,23,5,0,3,Personal Auto,Agent,Four-Door Car,Small
11,VQ65197,California,Basic,College,Unemployed,F,0,Suburban,Married,110,27,87,0,3,Personal Auto,Agent,SUV,Medsize
12,DP39365,California,Premium,Master,Employed,M,77026,Urban,Married,110,9,82,2,3,Corporate Auto,Agent,Four-Door Car,Medsize
13,SJ95423,Arizona,Basic,High School or Below,Employed,M,99845,Suburban,Married,110,23,25,1,8,Corporate Auto,Branch,SUV,Medsize
14,IL66569,California,Basic,College,Employed,M,83689,Urban,Single,70,21,10,2,8,Corporate Auto,Call Center,Four-Door Car,Medsize
15,BW63560,Oregon,Basic,Bachelor,Employed,F,24599,Rural,Married,64,12,50,1,2,Corporate Auto,Branch,Four-Door Car,Medsize
16,FV94802,Nevada,Basic,High School or Below,Medical Leave,M,25049,Suburban,Married,67,14,7,0,1,Personal Auto,Call Center,Two-Door Car,Medsize
17,OE15005,California,Basic,College,Medical Leave,M,28855,Suburban,Married,101,12,59,0,1,Personal Auto,Call Center,SUV,Medsize
18,WC83389,Oregon,Basic,College,Employed,M,51148,Urban,Married,72,9,1,0,7,Personal Auto,Branch,Four-Door Car,Medsize
19,FL50705,California,Premium,High School or Below,Employed,F,66140,Suburban,Married,101,11,21,0,3,Corporate Auto,Call Center,Four-Door Car,Small
20,ZK25313,Oregon,Basic,High School or Below,Employed,M,57749,Suburban,Single,74,31,21,0,1,Personal Auto,Branch,Two-Door Car,Medsize
21,SV62436,Washington,Extended,Bachelor,Disabled,F,13789,Suburban,Divorced,79,8,49,0,1,Personal Auto,Call Center,Four-Door Car,Medsize
22,YH23384,Arizona,Basic,Bachelor,Medical Leave,M,14072,Suburban,Divorced,71,13,3,0,2,Personal Auto,Agent,Four-Door Car,Medsize
23,TZ98966,Nevada,Basic,Bachelor,Unemployed,F,0,Suburban,Single,73,4,44,3,1,Corporate Auto,Branch,Four-Door Car,Medsize
24,HM55802,California,Basic,Bachelor,Disabled,F,17870,Suburban,Married,61,30,91,0,1,Corporate Auto,Branch,Four-Door Car,Medsize
25,FS42516,Oregon,Basic,College,Employed,M,97541,Suburban,Married,72,22,1,0,3,Personal Auto,Call Center,Four-Door Car,Large
26,US89481,California,Premium,Bachelor,Unemployed,F,0,Suburban,Single,111,15,47,0,1,Personal Auto,Agent,Four-Door Car,Small
27,HO30839,Washington,Extended,Master,Disabled,F,10511,Urban,Married,139,33,64,0,1,Corporate Auto,Branch,SUV,Medsize
28,GE62437,Arizona,Premium,College,Employed,F,86584,Suburban,Single,111,33,54,2,2,Personal Auto,Call Center,Four-Door Car,Large
29,EJ77678,Oregon,Extended,Master,Employed,F,75690,Suburban,Married,80,17,44,1,1,Personal Auto,Branch,Four-Door Car,Small
30,SV85652,Arizona,Basic,College,Employed,M,23158,Suburban,Married,63,4,6,1,1,Personal Auto,Call Center,Four-Door Car,Small
31,UL64533,Nevada,Extended,High School or Below,Employed,M,65999,Urban,Married,237,1,14,0,6,Corporate Auto,Agent,Luxury SUV,Medsize
32,PF41800,California,Basic,Bachelor,Unemployed,M,0,Urban,Married,65,19,56,0,3,Personal Auto,Call Center,Four-Door Car,Medsize
33,AO98601,Washington,Basic,Bachelor,Employed,M,54500,Suburban,Married,63,28,17,0,6,Corporate Auto,Agent,Two-Door Car,Small
34,SK67821,Oregon,Basic,Bachelor,Employed,F,37260,Rural,Married,62,19,42,0,8,Corporate Auto,Web,Four-Door Car,Medsize
35,YV55495,Arizona,Basic,High School or Below,Employed,F,68987,Urban,Married,71,11,40,0,6,Personal Auto,Branch,Four-Door Car,Medsize
36,KY38074,California,Premium,Bachelor,Employed,M,42305,Suburban,Married,117,10,62,0,2,Personal Auto,Agent,Four-Door Car,Small
37,DM79012,Oregon,Extended,Master,Employed,F,65706,Suburban,Married,91,19,86,0,8,Personal Auto,Web,Four-Door Car,Small
38,CM61827,Oregon,Extended,Bachelor,Unemployed,M,0,Suburban,Single,90,7,79,0,1,Personal Auto,Agent,Two-Door Car,Small
39,WC35801,Arizona,Basic,High School or Below,Employed,M,53243,Rural,Divorced,66,4,15,2,1,Personal Auto,Call Center,Four-Door Car,Medsize
40,QG25316,Nevada,Basic,High School or Below,Unemployed,F,0,Suburban,Married,70,7,1,1,1,Corporate Auto,Call Center,Two-Door Car,Medsize
41,MB98372,Oregon,Basic,College,Employed,F,50071,Rural,Single,71,3,32,0,1,Corporate Auto,Agent,Two-Door Car,Medsize
42,IL19217,California,Extended,Bachelor,Employed,F,60021,Suburban,Married,99,12,28,0,1,Personal Auto,Agent,Four-Door Car,Small
43,SR38658,Arizona,Basic,High School or Below,Employed,M,43244,Suburban,Married,103,15,16,0,2,Personal Auto,Agent,Sports Car,Medsize
44,DH41343,Washington,Basic,College,Employed,M,92834,Suburban,Married,61,15,56,0,1,Special Auto,Call Center,Four-Door Car,Large
45,HG65722,Oregon,Premium,Doctor,Disabled,F,10105,Rural,Married,172,5,4,3,3,Personal Auto,Branch,SUV,Medsize
46,BU27331,Arizona,Basic,Bachelor,Unemployed,M,0,Suburban,Single,73,7,57,3,5,Personal Auto,Call Center,Four-Door Car,Medsize
47,XM45289,Oregon,Basic,High School or Below,Employed,F,23218,Suburban,Single,71,7,10,0,4,Personal Auto,Agent,Two-Door Car,Medsize
48,KP34198,California,Extended,Bachelor,Unemployed,F,0,Suburban,Married,92,11,77,0,1,Corporate Auto,Call Center,Four-Door Car,Medsize
49,SH90947,Arizona,Basic,High School or Below,Unemployed,F,0,Suburban,Married,62,11,56,0,1,Personal Auto,Branch,Four-Door Car,Medsize
50,WE95729,Oregon,Basic,College,Employed,M,24804,Suburban,Married,104,1,28,0,2,Personal Auto,Agent,SUV,Small
51,PY51963,California,Basic,Bachelor,Employed,F,33190,Suburban,Divorced,106,18,95,0,2,Corporate Auto,Web,SUV,Medsize
52,RB69909,Nevada,Basic,High School or Below,Employed,F,36014,Rural,Married,69,4,40,3,2,Special Auto,Branch,Four-Door Car,Medsize
53,XR95069,Washington,Basic,Bachelor,Employed,M,29834,Suburban,Single,64,19,44,0,3,Personal Auto,Agent,Four-Door Car,Medsize
54,FR46645,California,Premium,Bachelor,Disabled,M,16701,Suburban,Married,113,20,26,0,1,Personal Auto,Branch,Four-Door Car,Small
55,SY17488,Arizona,Extended,College,Employed,F,46623,Suburban,Divorced,91,1,53,0,3,Corporate Auto,Call Center,Four-Door Car,Small
56,AP67935,California,Basic,College,Employed,M,64749,Urban,Married,64,24,59,0,2,Special Auto,Branch,Four-Door Car,Medsize
57,FS37417,Arizona,Basic,High School or Below,Unemployed,F,0,Suburban,Married,101,29,12,0,1,Personal Auto,Call Center,SUV,Small
58,ML29312,Oregon,Extended,High School or Below,Disabled,F,16969,Suburban,Divorced,124,34,47,2,1,Personal Auto,Call Center,SUV,Medsize
59,UB61619,Oregon,Premium,Master,Disabled,F,11621,Suburban,Divorced,108,4,98,0,1,Personal Auto,Agent,Four-Door Car,Medsize
60,CD86811,Arizona,Basic,Bachelor,Retired,M,17622,Suburban,Divorced,65,1,36,1,3,Personal Auto,Agent,Four-Door Car,Medsize
