,Numero_expedient,Vehicle_type,Gender,Age,People_type
0,2018S000001    ,Car,Man,41,Driver
1,2018S000001    ,Car,Man,54,Driver
2,2018S000002    ,Bike,Man,45,Driver
3,2018S000003    ,Bike,Man,70,Driver
4,2018S000005    ,Car,Woman,33,Driver
8,2018S000008    ,Bike,Man,26,Driver
10,2018S000010    ,Bike,Man,59,Driver
13,2018S000013    ,Bike,Woman,20,Driver
14,2018S000014    ,Bike,Man,20,Driver
17,2018S000017    ,Car,Woman,37,Driver
18,2018S000018    ,Car,Man,35,Driver
19,2018S000019    ,Bike,Man,35,Driver
20,2018S000019    ,Bike,Woman,33,Driver
21,2018S000021    ,Bike,Man,39,Driver
22,2018S000022    ,Bike,Man,31,Driver
23,2018S000023    ,Bike,Woman,34,Driver
24,2018S000024    ,Bike,Man,19,Driver
26,2018S000026    ,Bike,Man,54,Driver
28,2018S000028    ,Bike,Man,45,Driver
29,2018S000029    ,Bike,Man,31,Driver
33,2018S000033    ,Bike,Man,47,Driver
36,2018S000034    ,Car,Man,25,Driver
38,2018S000036    ,Bike,Man,49,Driver
39,2018S000037    ,Bike,Man,52,Driver
40,2018S000038    ,Bike,Woman,43,Driver
41,2018S000039    ,Bike,Man,47,Driver
43,2018S000041    ,Bike,Man,46,Driver
45,2018S000044    ,Bike,Man,30,Driver
46,2018S000045    ,Bike,Man,69,Driver
47,2018S000046    ,Bike,Man,34,Driver
48,2018S000047    ,Bike,Woman,32,Driver
49,2018S000049    ,Bike,Man,27,Driver
50,2018S000050    ,Bike,Woman,52,Driver
51,2018S000051    ,Bike,Man,27,Driver
52,2018S000052    ,Bike,Man,29,Driver
53,2018S000053    ,Bike,Man,35,Driver
54,2018S000054    ,Bike,Man,37,Driver
55,2018S000055    ,Bike,Woman,33,Driver
56,2018S000056    ,Bike,Man,23,Driver
57,2018S000056    ,Bike,Man,23,Driver
61,2018S000058    ,Bike,Man,43,Driver
63,2018S000060    ,Bike,Woman,45,Driver
65,2018S000062    ,Bike,Man,39,Driver
66,2018S000063    ,Bike,Man,41,Driver
69,2018S000066    ,Bike,Woman,26,Driver
71,2018S000067    ,Bike,Woman,28,Driver
73,2018S000068    ,Bike,Man,31,Driver
74,2018S000069    ,Bike,Man,54,Driver
77,2018S000072    ,Bike,Man,71,Driver
79,2018S000074    ,Bike,Woman,48,Driver
81,2018S000076    ,Car,Man,36,Driver
82,2018S000077    ,Bike,Man,21,Driver
83,2018S000078    ,Bike,Woman,35,Driver
84,2018S000079    ,Bike,Man,70,Driver
85,2018S000080    ,Bike,Man,26,Driver
86,2018S000081    ,Bike,Man,37,Driver
87,2018S000082    ,Bike,Man,17,Driver
88,2018S000083    ,Bike,Man,26,Driver
91,2018S000085    ,Bike,Man,25,Driver
92,2018S000086    ,Bike,Man,36,Driver
93,2018S000087    ,Bike,Man,45,Driver
94,2018S000088    ,Bike,Man,29,Driver
95,2018S000089    ,Bike,Woman,28,Driver
99,2018S000093    ,Bike,Man,58,Driver
100,2018S000094    ,Bike,Woman,34,Driver
102,2018S000096    ,Bike,Woman,51,Driver
103,2018S000098    ,Car,Woman,39,Driver
105,2018S000099    ,Car,Woman,36,Driver
106,2018S000100    ,Bike,Man,37,Driver
108,2018S000101    ,Bike,Man,45,Driver
109,2018S000102    ,Bike,Woman,40,Driver
110,2018S000102    ,Bike,Woman,42,Driver
111,2018S000103    ,Car,Man,67,Driver
113,2018S000105    ,Bike,Woman,29,Driver
114,2018S000106    ,Bike,Man,39,Driver
115,2018S000107    ,Bike,Man,43,Driver
117,2018S000108    ,Bike,Man,64,Driver
120,2018S000110    ,Bike,Man,34,Driver
121,2018S000112    ,Bike,Woman,40,Driver
126,2018S000119    ,Car,Man,67,Driver
130,2018S000121    ,Bike,Man,61,Driver
133,2018S000122    ,Car,Man,42,Driver
134,2018S000122    ,Car,Man,43,Driver
137,2018S000125    ,Bike,Woman,38,Driver
139,2018S000126    ,Bike,Man,25,Driver
143,2018S000128    ,Car,Man,25,Driver
145,2018S000130    ,Car,Man,30,Driver
147,2018S000131    ,Bike,Man,31,Driver
149,2018S000132    ,Bike,Man,26,Driver
151,2018S000134    ,Car,Man,26,Driver
153,2018S000136    ,Bike,Man,46,Driver
154,2018S000137    ,Bike,Man,25,Driver
157,2018S000139    ,Car,Man,43,Driver
159,2018S000142    ,Bike,Woman,41,Driver
160,2018S000143    ,Car,Man,22,Driver
162,2018S000144    ,Bike,Woman,43,Driver
164,2018S000145    ,Bike,Man,25,Driver
167,2018S000148    ,Bike,Man,25,Driver
168,2018S000149    ,Car,Woman,27,Driver
169,2018S000150    ,Bike,Man,56,Driver
170,2018S000151    ,Bike,Man,46,Driver
172,2018S000152    ,Bike,Man,29,Driver
174,2018S000153    ,Bike,Man,22,Driver
177,2018S000155    ,Bike,Man,29,Driver
178,2018S000156    ,Bike,Man,52,Driver
179,2018S000157    ,Bike,Woman,37,Driver
180,2018S000157    ,Car,Woman,30,Driver
183,2018S000160    ,Car,Man,55,Driver
184,2018S000161    ,Bike,Man,34,Driver
186,2018S000163    ,Car,Man,50,Driver
187,2018S000164    ,Bike,Man,28,Driver
188,2018S000165    ,Bike,Man,85,Driver
189,2018S000166    ,Bike,Woman,25,Driver
190,2018S000167    ,Bike,Man,32,Driver
191,2018S000169    ,Bike,Woman,31,Driver
192,2018S000170    ,Car,Woman,36,Driver
