,Accident_code,Vehicle_type,Brand,Color,Years_license
0,2018S007344    ,Car,SEAT,White,5.0
1,2018S009617    ,Car,PEUGEOT,Blue,1.0
6,2018S004886    ,Car,RENAULT,Black,2.0
9,2018S006793    ,Car,FORD,Black,19.0
10,2018S007251    ,Bike,HONDA,Black,12.0
11,2018S007251    ,Car,SEAT,Red,10.0
12,2018S008418    ,Car,SEAT,White,23.0
16,2018S009491    ,Car,SEAT,White,18.0
18,2018S006208    ,Car,AUDI,Red,2.0
19,2018S008217    ,Bike,SYM,Black,5.0
20,2018S008217    ,Car,OPEL,Black,22.0
21,2018S004441    ,Bike,PIAGGIO,Black,4.0
22,2018S004441    ,Car,SEAT,Grey,11.0
24,2018S009888    ,Car,KIA,Black,5.0
25,2018S003907    ,Bike,YAMAHA,White,10.0
26,2018S003907    ,Car,FORD,Black,13.0
27,2018S004547    ,Bike,YAMAHA,Black,2.0
28,2018S004547    ,Car,KIA,Black,13.0
29,2018S009079    ,Bike,HONDA,Grey,17.0
30,2018S009079    ,Car,VOLKSWAGEN,Black,12.0
31,2018S004999    ,Bike,HONDA,White,21.0
32,2018S004999    ,Car,SKODA,Black,29.0
33,2018S009914    ,Bike,SYM,Black,5.0
34,2018S009914    ,Car,RENAULT,Grey,4.0
35,2018S003063    ,Bike,APRILIA,Grey,28.0
37,2018S006333    ,Bike,HARLEYDAVIDSON,Black,14.0
39,2018S003370    ,Bike,PIAGGIO,Grey,8.0
40,2018S003370    ,Car,MERCEDES,Black,15.0
41,2018S006948    ,Bike,EMCO,Green,5.0
42,2018S006948    ,Bike,KAWASAKI,Black,2.0
43,2018S004268    ,Bike,HONDA,Black,10.0
44,2018S004268    ,Car,LANCIA,Brown,32.0
45,2018S007512    ,Car,SKODA,Black,14.0
46,2018S007512    ,Car,OPEL,Grey,34.0
47,2018S008514    ,Bike,HONDA,Black,10.0
49,2018S001118    ,Bike,PEUGEOT,Red,7.0
51,2018S009402    ,Car,RENAULT,Black,46.0
53,2018S004718    ,Car,AUDI,Black,38.0
54,2018S009401    ,Bike,KYMCO,Black,15.0
55,2018S009401    ,Bike,YAMAHA,Blue,6.0
57,2018S005899    ,Car,FIAT,White,3.0
59,2018S003738    ,Bike,HONDA,Black,4.0
61,2018S007182    ,Bike,EMCO,Green,8.0
62,2018S007182    ,Car,TOYOTA,Blue,7.0
63,2018S007182    ,Car,MAZDA,Grey,9.0
64,2018S002645    ,Bike,HONDA,White,15.0
65,2018S002645    ,Car,FIAT,White,9.0
66,2018S003909    ,Bike,KEEWAY,White,2.0
69,2018S005028    ,Car,CITROEN,Blue,2.0
77,2018S004603    ,Car,CITROEN,Black,9.0
78,2018S004603    ,Car,SKODA,Black,32.0
79,2018S001119    ,Bike,BMW,White,2.0
82,2018S001119    ,Car,DAEWOO,White,2.0
83,2018S006968    ,Bike,PIAGGIO,White,7.0
84,2018S006968    ,Car,TOYOTA,White,20.0
85,2018S006968    ,Car,FIAT,White,1.0
87,2018S006480    ,Car,MERCEDES,Blue,50.0
88,2018S009915    ,Bike,PIAGGIO,Blue,2.0
89,2018S009915    ,Car,SKODA,Black,22.0
92,2018S006589    ,Car,BMW,Black,19.0
93,2018S006154    ,Bike,KAWASAKI,Black,1.0
94,2018S006154    ,Car,CITROEN,White,11.0
96,2018S006054    ,Bike,KTM,Orange,1.0
97,2018S006054    ,Car,AUDI,Black,9.0
101,2018S003460    ,Bike,HONDA,Green,25.0
103,2018S006386    ,Bike,HONDA,White,6.0
107,2018S002915    ,Bike,HONDA,Red,9.0
109,2018S002915    ,Car,PEUGEOT,Black,21.0
110,2018S005463    ,Bike,YAMAHA,Black,8.0
111,2018S005463    ,Car,FORD,White,19.0
112,2018S009254    ,Bike,HONDA,Black,4.0
113,2018S009254    ,Car,AUDI,Red,11.0
114,2018S000002    ,Bike,DAELIM,Black,16.0
115,2018S000002    ,Car,FIAT,White,1.0
117,2018S000723    ,Car,OPEL,Grey,10.0
118,2018S009005    ,Bike,EMCO,Green,10.0
119,2018S005375    ,Bike,HONDA,Grey,13.0
